Country English,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Djibouti,144379,154225,165235,177327,191389,208582,229304,253083,278425,302856,324121,341316,355110,367726,382157,400709,424286,452272,482337,521104,577174,628521,623197,611231,623478,629619,644649,667786,694920,719371,742033,771313,795574,813519,826124,839167,855764,874528,892734,911527,930252,948558,966748,984825,1002718,1020313,1037653,1054841,1071882,1088709,1105189,1121248,1137096,1152944,1168722,1184077,
DRC,20151733,20712952,21273409,21853906,22448416,23052716,23655016,24256464,25015244,25902760,26708687,27457783,28219220,29005175,29879852,30800051,31725132,32712574,33750052,34825892,35987541,37194812,38332303,39580845,41511985,43285792,44118710,44822199,45895525,47227239,48616317,52132646,53750525,55343867,56997741,58775725,60615908,62477752,64390664,66412044,68563038,70849312,73254619,75789395,78403242,81035531,83956415,87083398,90047644,92947442,95989998,99148932,102396968,105789732,109276265,112832473,
Egypt,34781986,35555970,36330768,37120776,37930375,38775584,39649051,40577356,41576636,42632458,43748556,44899573,46088648,47353665,48676443,50035843,51424313,52841319,54298446,55765843,57214631,58611032,59989142,61382200,62775847,64166908,65565195,66993729,68446012,69907887,71371372,74652029,76239137,77853548,79477444,81101004,82700403,84276225,85864790,87501636,89196073,91093059,93161002,95333553,97528654,99597342,101644589,103696058,105682094,107553158,109315124,110957008,112618250,114535772,116538258,118365995,
Equatorial Guinea,316955,311952,305362,298051,290559,283262,276000,271377,270867,273925,282509,296950,315741,336744,357995,378379,397276,414769,431587,448420,465549,483143,501335,520236,539992,560741,582573,605570,629734,655029,703279,749836,797957,847863,899917,947367,990343,1036044,1084530,1135673,1189085,1241836,1293483,1346218,1399828,1453923,1508186,1562396,1616422,1670177,1716469,1758787,1803545,1847549,1892517,1938431,
Eritrea,1272748,1306234,1340838,1376517,1413221,1450867,1489656,1529802,1571193,1613829,1657982,1703789,1751046,1799815,1849595,1899243,1949612,2000356,2051546,2102132,2149960,2039220,1921153,1981420,2042500,2157221,2264074,2291561,2322754,2356477,2392880,2312079,2392978,2493903,2598284,2661215,2703502,2743223,2816328,2887885,2945187,2998485,3036989,3074361,3095173,3105546,3124698,3150347,3192761,3240194,3291271,3350183,3409447,3470390,3535603,3607003,
Eswatini,442865,454913,467512,480668,494624,509535,525457,542328,560237,579092,598564,616210,634439,655506,677303,702401,730151,758669,794434,825952,854011,889712,925165,953451,953738,953573,973588,990734,1005158,1018370,1041414,1051065,1059442,1066700,1073159,1079022,1084436,1090705,1098092,1105154,1111650,1117834,1123864,1129990,1136299,1142813,1149508,1158195,1168930,1179874,1192730,1206594,1218917,1230506,1242822,1256174,
Ethiopia,28308246,29099595,29891328,30694316,31488614,32252783,33062216,33695018,34259065,34758824,34945470,35818845,37213393,38235187,39202890,40285965,41455309,42851957,44511537,46195954,47878074,49937430,52011554,53791672,55620211,57476536,59347649,61233480,63136494,65077580,67031868,69487762,71635517,73832663,76077206,78367471,80703490,83103218,85543668,88007637,90538514,93149970,95798767,98438751,101115610,103867135,106718162,109666481,112664153,115737383,118917672,122138589,125384287,128691692,132059768,135472051,
Gabon,597192,609694,622290,635288,648922,663340,678661,694931,712135,730188,749079,768905,789585,811099,833417,856483,880340,905017,930464,956509,983028,1009995,1037446,1065391,1093611,1121964,1150601,1179806,1209832,1240765,1272935,1309589,1345135,1382350,1421609,1463495,1508337,1556238,1607175,1661556,1719879,1781985,1846890,1913059,1978400,2040990,2100306,2156900,2212318,2267706,2322539,2376722,2430747,2484789,2538952,2593130,
"Gambia, the",528732,544317,560554,577488,594904,612909,631895,651934,672974,695155,718586,742846,768272,795563,824799,855959,888980,923915,960837,999732,1040616,1083536,1127153,1168309,1205883,1242155,1279070,1317002,1356189,1396499,1455085,1495011,1535691,1577612,1621312,1667037,1715276,1765774,1817852,1871423,1926630,1983784,2043095,2103820,2164528,2224529,2283770,2342189,2399632,2456844,2515734,2576010,2636470,2697846,2759988,2822093,
Ghana,8861895,9108878,9365953,9637197,9918979,10209848,10509007,10825496,11163231,11515675,11865246,12212960,12584976,12984131,13342487,13651444,13971682,14310790,14671677,15052447,15446982,15843472,16241548,16643634,17040854,17438874,17844010,18268041,18714708,19176792,19665502,20167069,20729388,21296705,21868298,22449438,23040702,23642279,24249946,24862665,25474995,26095088,26734269,27386193,28041593,28696068,29356742,30008354,30637585,31258945,31887809,32518665,33149152,33787914,34427414,35064273,
