Country English,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,
Zimbabwe,5202919,5363423,5532842,5712712,5903531,6097083,6288387,6453044,6549349,6655833,7049926,7506526,7803856,8106356,8398567,8690516,8983044,9277489,9568739,9846346,10113893,10377815,10641501,10794918,10858594,10994042,11178171,11362402,11548364,11716455,11892055,11971902,12087653,12232323,12365896,12483432,12636445,12804058,12959150,13142790,13356548,13595424,13817887,14013809,14207359,14399013,14600294,14812482,15034452,15271368,15526889,15797210,16069056,16340822,16634373,16950795,
World,3695390336,3770163092,3844800885,3920251504,3995517077,4069437231,4142505882,4215772490,4289657708,4365582871,4444007706,4524627658,4607984871,4691884238,4775836074,4861730613,4950063339,5040984495,5132293974,5223704308,5316175862,5406245867,5492686093,5577433523,5660727993,5743219454,5825145298,5906481261,5987312480,6067758458,6171702994,6254936460,6337730342,6420361634,6503377772,6586970132,6671452016,6757308782,6844457662,6932766416,7021732148,7110923766,7201202485,7291793585,7381616244,7470491872,7558554526,7645617954,7729902781,7811293699,7887001292,7954448392,8021407192,8091734930,8161972573,8231613070,
Africa,364858669,374481530,384316274,394588708,405437542,416925958,428935549,441042014,453780803,467270831,480815694,494908583,509774824,524550949,539379095,554828203,570800711,587212343,603621567,620254950,637220449,654078646,670944229,688127247,705450416,723266027,741667933,760095465,778747332,797908237,817731019,838212904,859330787,881038540,903442309,926532584,950344911,975031494,1000517985,1026707642,1053712864,1081127142,1109220181,1138574534,1168661054,1199438579,1230413728,1261605076,1293503433,1325906932,1358852353,1391823317,1424854794,1458571410,1493054940,,
Eastern Africa,106679666,109837906,112937010,116118456,119470686,122865034,126350283,129753282,133541166,137697518,141391449,145334921,149819986,154271052,158861872,163740286,168836871,174274593,179640660,184868660,190486266,196220746,201860770,207944291,214060472,220228702,226821775,233316855,239902061,246885366,254205906,261824661,269722144,277847573,286260406,294927741,303845046,313093939,322624710,332308688,342322316,352568101,362965126,373725711,384492293,395355414,406699385,418202037,429836166,441940730,454431712,467021443,479702391,492647135,505884227,,
West Africa,105803926,108336766,110972264,113762842,116735218,119909186,123217291,126691610,130361956,134167175,138114673,142155949,146270644,150225663,154213004,158448713,162705253,167050071,171548641,176229103,180832174,185442576,190335578,195347708,200428056,205678918,211082492,216717875,222576908,228527747,234715052,241241485,248020598,254924357,261994145,269327536,276887683,284654248,292632971,300818204,309241959,317965028,326857393,335835315,345009991,354332026,363846144,373599632,383465211,393437135,403620895,413923960,424343412,435000240,445877657,,
Central Africa,14576257,14922138,15281242,15655377,16038510,16423028,16787584,17140213,17515582,17923996,18301450,18714847,19255341,19797285,20250313,20728942,21325947,21970400,22629745,23325500,24021165,24787097,25608645,26332176,27063195,27935301,28824366,29648595,30495299,31390482,32345557,33303049,34259861,35324026,36482221,37646616,38798298,39974927,41201533,42512527,43858483,45185974,46494417,47820036,49199842,50613253,52084981,53587092,55122246,56699679,58288245,59870081,61478699,63158139,64877689,,
North Africa,83236235,85309182,87433533,89641552,91994236,94686496,97657451,100601141,103547724,106636757,109887533,113271277,116742894,120218358,123592460,126927691,130292382,133575220,136712073,139863641,143077438,146217857,149313067,152465763,155717664,158942086,162090613,165265821,168400261,171531805,174742290,177965459,181212179,184489218,187823649,191243171,194768898,198457459,202256694,206155444,210120066,213811828,217693267,222201213,226974226,231814822,236627545,241483593,246275889,250862790,255360326,259787129,264130100,268481729,272855498,,
Southern Africa,54562587,56075539,57692225,59410482,61198892,63042215,64922941,66855770,68814376,70845387,73120589,75431589,77685960,80038593,82461447,84982573,87640258,90342059,93090449,95968047,98803408,101410370,103826170,106037309,108181030,110481022,112848688,115146320,117372804,119572838,121722215,123878251,126116006,128453368,130881888,133387521,136044986,138850922,141802079,144912781,148170041,151596212,155209978,158992259,162984702,167323064,171155675,174732722,178803922,182966598,187151177,191220705,195200193,199284169,203559870,,
Common Market for Eastern and Southern Africa,158145547,162517277,166841515,171299034,176041792,180944095,185993472,191029710,196514267,202502251,208455957,214820013,221617101,228309564,235002525,241907340,249033317,256618606,264300861,271925555,279796220,287576058,295214777,302934467,310148709,317756035,326461064,335033219,343562680,352458994,361547638,370956742,380708695,390712929,400992580,411543003,422435908,433749806,445407001,457387024,469610294,481578657,493913234,507244320,521076229,535032478,549423064,564312150,579212822,594157963,609295177,624450015,639568913,654970724,670714459,,
ECOWAS,105803926,108336766,110972264,113762842,116735218,119909186,123217291,126691610,130361956,134167175,138114673,142155949,146270644,150225663,154213004,158448713,162705253,167050071,171548641,176229103,180832174,185442576,190335578,195347708,200428056,205678918,211082492,216717875,222576908,228527747,234715052,241241485,248020598,254924357,261994145,269327536,276887683,284654248,292632971,300818204,309241959,317965028,326857393,335835315,345009991,354332026,363846144,373599632,383465211,393437135,403620895,413923960,424343412,435000240,445877657,,
EAC,66296835,68314246,70257061,72257314,74428366,76662676,78929141,81269414,83841945,86538124,89229874,91924808,94664153,97562728,100610184,103782504,107056265,110455707,113750336,116987433,120497025,124123583,127727977,131382782,134831010,138326764,142205662,146029248,149846474,154011299,158484413,163168896,168047860,173082620,178343872,183857178,189599935,195558117,201701358,207987460,214511464,221276898,228120526,235136561,242095192,249092979,256376079,263669685,271067107,278837532,286920889,295103218,303364470,311805873,320455130,,
SADC,95268992,98025926,100925661,103978539,107141898,110400593,113723063,117123322,120722461,124521856,128468714,132391528,136289581,140377570,144646502,149093479,153732481,158510347,163369091,168343498,173381899,178255378,182887944,187643629,193274784,198754517,202995422,207114832,211739384,216636010,221635484,226738045,231985024,237370957,242975016,248848010,255030718,261487023,268155399,274991561,282151311,289778568,297740087,306090104,314863431,324203159,333337134,342316043,351707675,361174560,370845732,380546906,390263759,400270550,410636535,,
Arab Maghreb Union,37149044,38084292,39045506,40051185,41112899,42413369,43942393,45356567,46665283,48031265,49465392,50967369,52525615,54130698,55750180,57374652,58980617,60503370,61959809,63379089,64771921,66153114,67543866,68920312,70238186,71484576,72663160,73817720,74925105,75989756,77072146,78163945,79248102,80336918,81469673,82627284,83806260,85047541,86346671,87706225,89127719,90192149,91293099,92832619,94378657,95919846,97466346,99014380,100536064,102012026,103454706,104867750,106265793,107656124,109013018,,
IGAD,69884265,71958967,74046060,76189055,78432242,80739211,83137072,85442268,87977525,90782272,93156544,95846609,99089826,102080167,104943657,107931800,111092591,114443239,117590022,120696248,124194905,127748940,131178763,135041263,139351276,143626128,147891282,152212121,156614640,161266589,166173762,171222450,176402200,181690123,187086479,192592656,198264028,204181223,210276525,216424959,222645343,228772704,234958997,241367643,247753445,254276389,261060868,267912612,274906192,282254995,289811055,297339343,304846755,312436517,320159222,,
Community of Sahel-Saharan States,180386251,184824097,189414515,194239547,199372831,204842788,210512934,216461844,222954258,229999081,237066975,243865382,250964265,258059976,264910712,271959142,279163906,286421215,293490335,300674247,308256737,315382037,322353709,330102650,338299876,346767923,355319703,363958944,372835189,381923221,391403720,401342117,411572180,422031594,432746201,443651171,454713231,466067980,477774966,489753774,501998179,514077972,526495784,539852411,553657428,567613194,581863273,596489981,611187605,625835988,640631105,655469844,670356738,685569510,701091506,,
Economic Community of Central African States,48151891,49409612,50634156,51918447,53335822,54773445,56188476,57619251,59263777,61081785,62900549,64736796,66676884,68665069,70646864,72714390,74923162,77270629,79665871,82106560,84641099,87291109,89973747,92411250,94356284,96753025,99972441,102932534,105707673,108678240,111773584,115040963,118459315,122082846,125981302,130062995,134270524,138641811,143202884,148043536,153049562,158132020,163316392,168677986,174227131,179767985,185504930,191464925,197508414,203670024,209936483,216281073,222744172,229438392,236314006,,
Sub-Saharan Africa,114815116,117981027,121153994,124460808,127950276,131489659,135071328,138548774,142265271,146130462,149713261,154043048,159057402,163842158,168595292,173535298,178730892,184347003,190382804,196617978,203096039,209965309,216776595,223249313,230706963,238479646,245073906,251450400,258448399,265935728,655013271,672816920,691215832,710234599,729934789,750262573,771165356,792726412,814993899,837773238,861277238,885444448,910127862,935555737,961284438,987406299,1013769354,1040453949,1068011931,1096034162,1124521695,1153271162,1182163726,1212229420,1243009511,1273565325,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
